DOY,StationCode,mean_tec
103.0,BOMB,57.993866822437205
103.0,DHAN,78.79820346556909
103.0,IITK,47.56331497112726
103.0,MANI,50.60643230626795
103.0,TRIV,58.618280082994325
104.0,BOMB,67.69890851586649
104.0,DHAN,75.32036986066898
104.0,IITK,59.290561062623176
104.0,MANI,59.81712652533492
104.0,TRIV,54.06601995806178
105.0,BOMB,64.73893554947567
105.0,DHAN,113.33345658466759
105.0,IITK,63.13461757555508
105.0,MANI,56.28720893424045
105.0,ROPA,44.50991297311842
105.0,TRIV,70.79643967194117
106.0,BOMB,65.27112732982424
106.0,DHAN,84.26807445365085
106.0,IITK,60.47752480114228
106.0,MANI,52.82112654714277
106.0,ROPA,44.73480619910056
106.0,TRIV,64.92008012006987
107.0,BOMB,54.0962674841502
107.0,DHAN,89.64341561419278
107.0,IITK,47.82702003625015
107.0,MANI,48.79346660774237
107.0,ROPA,34.10927790357421
107.0,TRIV,76.14215140663117
108.0,BOMB,66.06418480009991
108.0,DHAN,80.43555813311606
108.0,IITK,56.16561641725466
108.0,MANI,51.758097003379284
108.0,ROPA,33.02206646868657
108.0,TRIV,85.92752637603404
109.0,BOMB,79.21306316817055
109.0,DHAN,75.89291358494599
109.0,IITK,56.55820511232424
109.0,MANI,59.30297145722258
109.0,ROPA,51.94584287943842
109.0,TRIV,66.17536198130705
110.0,BOMB,74.52272592428375
110.0,DHAN,79.36696622250702
110.0,IITK,50.76092642210352
110.0,MANI,51.0057364593896
110.0,ROPA,49.836554804066935
110.0,TRIV,75.04744577931262
111.0,BOMB,81.07991227512596
111.0,DHAN,93.25333174639968
111.0,IITK,64.96191481442521
111.0,MANI,60.77108764352896
111.0,ROPA,59.48074471357204
111.0,TRIV,90.71623948942536
112.0,BOMB,74.2033513899021
112.0,DHAN,74.05004644884384
112.0,IITK,45.23985980514648
112.0,MANI,51.22164711780724
112.0,ROPA,28.928052750901127
112.0,TRIV,109.29369447450276
113.0,BOMB,83.4500663388117
113.0,DHAN,75.08489226204392
113.0,IITK,48.741574675525925
113.0,MANI,52.291850842853236
113.0,ROPA,33.90476073008842
113.0,TRIV,113.86335449242002
114.0,BOMB,71.17085941916655
114.0,DHAN,97.43818864913935
114.0,IITK,67.1019129803105
114.0,MANI,62.37557923671669
114.0,ROPA,61.20216995052894
114.0,TRIV,76.65083589381624
115.0,BOMB,69.92327693977448
115.0,DHAN,91.81016527001906
115.0,IITK,55.22010064850975
115.0,MANI,52.34688381615699
115.0,ROPA,41.241940625541325
115.0,TRIV,86.48886107816551
116.0,BOMB,70.32665177470238
116.0,DHAN,88.62233143382056
116.0,IITK,51.461815995450365
116.0,MANI,52.61087002482807
116.0,ROPA,48.57539862374262
116.0,TRIV,73.63838430746863
117.0,BOMB,74.50758490325856
117.0,DHAN,76.80656349735018
117.0,IITK,53.97745419320032
117.0,MANI,52.88781415824025
117.0,ROPA,51.55631204547357
117.0,TRIV,79.58777387499312
118.0,BOMB,58.254284365579
118.0,DHAN,83.7969747670501
118.0,IITK,34.28073900726744
118.0,MANI,39.29751284150213
118.0,ROPA,25.341491040517084
118.0,TRIV,91.69917586370065
119.0,BOMB,69.25370526198806
119.0,DHAN,63.36745769577127
119.0,IITK,56.0752857398982
119.0,MANI,50.751601536325836
119.0,ROPA,54.52357703747072
119.0,TRIV,68.67270674237514
120.0,BOMB,63.28468317473516
120.0,DHAN,69.08633632591149
120.0,IITK,36.203346914333
120.0,MANI,40.07028297812197
120.0,ROPA,30.51059464594623
120.0,TRIV,81.0339844734913
121.0,BOMB,48.62842378519161
121.0,DHAN,62.61529783617409
121.0,IITK,40.244273283425436
121.0,MANI,37.80083612925538
121.0,ROPA,29.443968915755164
121.0,TRIV,63.44937962033067
122.0,BOMB,42.00620805247707
122.0,IITK,40.57386145082029
122.0,MANI,35.53844558722525
122.0,ROPA,24.316505988496903
122.0,TRIV,64.3167791490645
123.0,BOMB,55.36808330905779
123.0,IITK,29.031395324267688
123.0,MANI,33.77114868980103
123.0,ROPA,23.405823158629236
123.0,TRIV,69.87590338115044
124.0,BOMB,61.04998316934367
124.0,DHAN,45.19264365107906
124.0,IITK,31.003598977608295
124.0,MANI,39.70377552483332
124.0,ROPA,22.304532648272467
124.0,TRIV,102.52340358658468
125.0,BOMB,43.812665965731306
125.0,DHAN,44.564941067151906
125.0,IITK,35.56765547267627
125.0,MANI,39.547063051470516
125.0,ROPA,27.118036452867866
125.0,TRIV,62.35158001242157
126.0,BOMB,51.52546771294606
126.0,DHAN,48.81034227971664
126.0,IITK,29.75209587095113
126.0,MANI,30.59131934816935
126.0,ROPA,25.288897676293587
126.0,TRIV,73.2875997523288
127.0,BOMB,57.64162399813933
127.0,IITK,44.897842107086646
127.0,MANI,41.25239278321328
127.0,ROPA,36.31217938992484
127.0,TRIV,63.0894012747243
128.0,BOMB,57.13203722731391
128.0,IITK,45.427284606113204
128.0,MANI,42.12591259597509
128.0,ROPA,45.42570524965007
128.0,TRIV,53.03711162454637
129.0,BOMB,59.68508851323605
129.0,IITK,38.894938004580744
129.0,MANI,41.167716003469465
129.0,ROPA,28.129979002854192
129.0,TRIV,83.82955896138557
130.0,BOMB,54.76745540265551
130.0,IITK,44.579369015267794
130.0,MANI,44.968600622422365
130.0,ROPA,35.13889006801589
130.0,TRIV,67.83929138098885
131.0,BOMB,53.92634749554864
131.0,IITK,43.340204874238445
131.0,MANI,42.15131412322029
131.0,ROPA,34.60051178942727
131.0,TRIV,69.95341091232207
132.0,BOMB,33.819653440793005
132.0,IITK,27.661477107841787
132.0,MANI,28.377093354804355
132.0,ROPA,16.309487591133685
132.0,TRIV,58.14433917348776
133.0,BOMB,88.4609777274056
133.0,IITK,29.955662694802186
133.0,MANI,37.54087296232507
133.0,ROPA,25.683116368089326
133.0,TRIV,105.0468539470694
134.0,BOMB,70.40194955407233
134.0,IITK,44.90810231628388
134.0,MANI,44.499590473844776
134.0,ROPA,38.33523368030435
134.0,TRIV,84.96155191727694
135.0,BOMB,52.87477991508239
135.0,IITK,48.95785137124884
135.0,MANI,46.87387224889739
135.0,ROPA,41.17511285927024
135.0,TRIV,65.6320365821024
136.0,BOMB,59.68889871271291
136.0,IITK,50.37273990650933
136.0,MANI,47.63320651171355
136.0,ROPA,42.26614941673687
136.0,TRIV,67.81144747745421
137.0,BOMB,53.361809736501655
137.0,IITK,47.09033097178575
137.0,MANI,49.59473202145931
137.0,ROPA,36.99864072377252
137.0,TRIV,76.24971213909427
138.0,BOMB,56.95588370045631
138.0,IITK,45.713784239694384
138.0,MANI,48.739664656352645
138.0,ROPA,38.709114635500576
138.0,TRIV,76.15840625987283
139.0,BOMB,54.15627106133023
139.0,IITK,55.15806355618988
139.0,MANI,51.36301846295044
139.0,ROPA,37.42837428147574
139.0,TRIV,86.45610129382054
140.0,BOMB,63.46404006596994
140.0,IITK,58.56211923255279
140.0,MANI,54.91570552469289
140.0,ROPA,54.297368474634375
140.0,TRIV,64.26291194989341
141.0,BOMB,50.53980781890376
141.0,IITK,52.8549116500544
141.0,MANI,49.67634824946732
141.0,ROPA,40.176449145695415
141.0,TRIV,75.01554268846247
142.0,BOMB,54.26529553814411
142.0,IITK,50.5090410343865
142.0,MANI,47.29652455556779
142.0,ROPA,46.74576315311944
142.0,TRIV,61.09861679600515
143.0,BOMB,54.921037796964185
143.0,IITK,50.808483309725915
143.0,MANI,52.4033736280632
143.0,ROPA,43.247628478562326
143.0,TRIV,69.99630717483016
144.0,BOMB,51.13873436800552
144.0,IITK,42.3438319512358
144.0,MANI,43.696127235399416
144.0,ROPA,37.972235074111126
144.0,TRIV,63.138356953054235
145.0,BOMB,66.69725049630424
145.0,IITK,48.34640000304945
145.0,MANI,47.011677684711174
145.0,ROPA,41.12996422110919
145.0,TRIV,72.21206881113366
146.0,BOMB,50.814627239562704
146.0,IITK,34.604849398002365
146.0,MANI,38.05428204961368
146.0,ROPA,27.93885213096977
146.0,TRIV,74.54823732901997
147.0,BOMB,44.05834546772873
147.0,IITK,31.28939590233076
147.0,MANI,31.848661481871577
147.0,ROPA,27.57100281899239
147.0,TRIV,55.1383746527658
148.0,BOMB,44.591960108692014
148.0,IITK,34.49693166449683
148.0,MANI,34.681046679486926
148.0,ROPA,27.716357977460717
148.0,TRIV,58.56524139854864
149.0,BOMB,45.52671296023644
149.0,IITK,33.24083186305533
149.0,MANI,34.96274139169051
149.0,ROPA,28.733324571412894
149.0,TRIV,61.98618395533645
150.0,BOMB,48.246962011131885
150.0,IITK,32.028369666754465
150.0,MANI,34.874752893463814
150.0,ROPA,33.58940559869117
150.0,TRIV,49.00998038447711
151.0,BOMB,44.01608279138481
151.0,IITK,48.58779953725991
151.0,MANI,46.41908800866317
151.0,ROPA,49.62414914858965
151.0,TRIV,41.182948848916055
152.0,BOMB,32.18742532324525
152.0,IITK,29.525458801697916
152.0,MANI,29.662881759976994
152.0,ROPA,20.394524202076585
152.0,TRIV,51.06018982190885
153.0,BOMB,45.63449010156665
153.0,IITK,33.616668374061696
153.0,MANI,35.75411011633607
153.0,ROPA,29.02104156726141
153.0,TRIV,58.053426100398575
154.0,BOMB,39.977692655028584
154.0,IITK,47.22799206097767
154.0,MANI,41.20971480207838
154.0,ROPA,41.08683008396126
154.0,TRIV,45.623717411022426
155.0,BOMB,44.810818348600826
155.0,IITK,49.9654882995055
155.0,MANI,44.33507847975592
155.0,ROPA,56.88748043765973
155.0,TRIV,29.88851306320693
156.0,BOMB,39.042124859806464
156.0,IITK,44.710138154347405
156.0,MANI,41.77876979409303
156.0,ROPA,39.31133306253986
156.0,TRIV,50.91128294369654
157.0,BOMB,41.558871548598596
157.0,IITK,43.286103546359215
157.0,MANI,41.26663501344087
157.0,ROPA,40.38721081518668
157.0,TRIV,49.61139611396552
158.0,BOMB,42.4989715507944
158.0,IITK,43.1431015467914
158.0,MANI,41.23363156481331
158.0,ROPA,38.99664610888153
158.0,TRIV,53.44371852582085
159.0,BOMB,48.24203836497457
159.0,IITK,43.10440732762144
159.0,MANI,41.0404935287567
159.0,ROPA,46.50626552899373
159.0,TRIV,41.70547907239528
160.0,BOMB,43.68116591456354
160.0,IITK,38.85473777266631
160.0,MANI,41.63753358229748
160.0,ROPA,35.885638415864314
160.0,TRIV,50.452668825959194
161.0,BOMB,38.77982951191597
161.0,IITK,36.607361124046626
161.0,MANI,37.9157765744933
161.0,ROPA,34.8506177137539
161.0,TRIV,44.35725008332747
162.0,BOMB,34.03112542417339
162.0,IITK,34.16977413187001
162.0,MANI,33.73470639640997
162.0,ROPA,32.99871979272047
162.0,TRIV,36.30863562066352
163.0,BOMB,38.43962704479252
163.0,IITK,44.93993792253044
163.0,MANI,40.70651673552741
163.0,ROPA,41.177010747600946
163.0,TRIV,41.48106358152667
164.0,BOMB,30.93153250822322
164.0,IITK,29.960897195989283
164.0,MANI,29.71748376920696
164.0,ROPA,29.107903380179145
164.0,TRIV,35.12021341562677
165.0,BOMB,27.923248313276094
165.0,IITK,33.79013058410061
165.0,MANI,29.83032976298573
165.0,ROPA,30.59108772425145
165.0,TRIV,32.13627908502173
166.0,BOMB,25.33835448658076
166.0,IITK,35.583421819022334
166.0,MANI,29.073446784668043
166.0,ROPA,34.075702682517715
166.0,TRIV,25.110096234148287
167.0,BOMB,30.534090123644962
167.0,IITK,41.1187261250232
167.0,MANI,32.88304474267322
167.0,ROPA,47.95469266551995
167.0,TRIV,16.548379362280865
168.0,BOMB,23.39181111736324
168.0,IITK,34.16933268256048
168.0,MANI,28.27506008947805
168.0,ROPA,32.80230452172424
168.0,TRIV,27.636783320797498
169.0,BOMB,23.01486943219522
169.0,IITK,35.252996321512946
169.0,MANI,29.417732402950936
169.0,ROPA,32.402744369609735
169.0,TRIV,25.957307102267638
170.0,BOMB,22.123596574999496
170.0,IITK,35.19538990493174
170.0,MANI,28.128640050472967
170.0,ROPA,33.20362612685164
170.0,TRIV,23.604540505950098
171.0,BOMB,25.62157899528701
171.0,IITK,33.64665438389146
171.0,MANI,28.455824510271153
171.0,ROPA,35.02872426019818
171.0,TRIV,26.340717234749278
172.0,BOMB,29.430236682579654
172.0,IITK,31.670446962616136
172.0,MANI,27.591264433274738
172.0,ROPA,33.41906758329364
172.0,TRIV,29.14644482863912
173.0,BOMB,23.281584457264707
173.0,IITK,36.08827497352905
173.0,MANI,29.321109542783972
173.0,ROPA,33.22046237570655
173.0,TRIV,26.909470748460905
174.0,BOMB,21.0991461749616
174.0,IITK,37.09792015053064
174.0,MANI,30.04308919541583
174.0,ROPA,35.042037637795694
174.0,TRIV,23.422559824902386
175.0,BOMB,28.110033586758746
175.0,IITK,38.358155699967426
175.0,MANI,32.147148890928534
175.0,ROPA,40.73856966863341
175.0,TRIV,22.548521087642293
176.0,BOMB,29.943289593416672
176.0,IITK,38.82358530079624
176.0,MANI,32.25938086771461
176.0,ROPA,40.660132585492576
176.0,TRIV,24.833004460290784
177.0,BOMB,30.939311114317505
177.0,IITK,43.145302878322205
177.0,MANI,35.78377294707831
177.0,ROPA,50.02923316673184
177.0,TRIV,21.169720405934484
178.0,BOMB,32.06442481943561
178.0,IITK,36.63440668181956
178.0,MANI,33.79340522075483
178.0,ROPA,34.74324777026661
178.0,TRIV,35.33653751846651
179.0,BOMB,17.638124212716782
179.0,IITK,44.367765004916436
179.0,MANI,33.377932592057746
179.0,ROPA,39.77078955645646
179.0,TRIV,20.73679569883854
180.0,BOMB,33.81301057726881
180.0,IITK,42.95099646278874
180.0,MANI,38.20148191509235
180.0,ROPA,38.83134103976545
180.0,TRIV,37.188301538364406
181.0,BOMB,34.81395021038686
181.0,IITK,41.05721219019075
181.0,MANI,36.57320570521376
181.0,ROPA,34.36676809933528
181.0,TRIV,44.36557095553536
182.0,BOMB,33.647364995800686
182.0,IITK,42.671680623217554
182.0,MANI,37.16650641373508
182.0,ROPA,34.15318706527292
182.0,TRIV,45.44670790704908
183.0,BOMB,37.56499889169509
183.0,IITK,46.00924283516537
183.0,MANI,40.4351780002504
183.0,ROPA,39.368385624470626
183.0,TRIV,42.427229257957265
184.0,BOMB,38.298076810863286
184.0,IITK,41.851395722757864
184.0,MANI,39.16174255101723
184.0,ROPA,35.59856133321891
184.0,TRIV,49.376809881065235
185.0,BOMB,35.66889806361294
185.0,IITK,43.93728741186786
185.0,MANI,40.38280955286395
185.0,ROPA,40.126938720706356
185.0,TRIV,41.38074941503655
186.0,BOMB,38.70656888338639
186.0,IITK,58.69237191388214
186.0,MANI,42.269204475318055
186.0,ROPA,42.80199975664058
186.0,TRIV,41.07143863266233
187.0,BOMB,40.105217101446534
187.0,IITK,44.30427186749069
187.0,MANI,42.332791425205514
187.0,ROPA,40.89824917852931
187.0,TRIV,47.54020961226572
188.0,BOMB,44.11154093826275
188.0,IITK,45.85079413814101
188.0,MANI,43.45471921683902
188.0,ROPA,44.540896227597436
188.0,TRIV,43.74082060760667
189.0,BOMB,44.587020631737595
189.0,IITK,44.950972621112044
189.0,MANI,41.84892088476598
189.0,ROPA,41.830886973389234
189.0,TRIV,46.173721207843585
190.0,BOMB,44.77217231407005
190.0,IITK,48.87586630335616
190.0,MANI,45.10826341166524
190.0,ROPA,46.127709578106774
190.0,TRIV,45.25759760309146
191.0,BOMB,49.50798807659794
191.0,IITK,44.11872105947573
191.0,MANI,44.00903739425044
191.0,ROPA,39.24588823647487
191.0,TRIV,51.93792078922802
192.0,BOMB,49.824422144237204
192.0,IITK,41.87145999851633
192.0,MANI,45.29692808179841
192.0,ROPA,41.59105160518978
192.0,TRIV,50.826680792311414
193.0,BOMB,49.42650609019204
193.0,IITK,42.05211514480169
193.0,MANI,44.152081144133035
193.0,ROPA,39.539846211805525
193.0,TRIV,52.452564409553496
194.0,BOMB,52.22135352000338
194.0,IITK,44.22138614639196
194.0,MANI,43.59949497929084
194.0,ROPA,41.06677141639732
194.0,TRIV,51.630407007785
195.0,BOMB,53.49119002947048
195.0,IITK,46.43396943630845
195.0,MANI,45.86844090782201
195.0,ROPA,39.03049074557192
